#tileset
Images/TileA2asd.bmp
16 12
tile0: obstacle
tile1: obstacle
tile2: obstacle
tile3: obstacle
tile4: obstacle
tile5: obstacle
tile6: obstacle
tile7: obstacle
tile8: obstacle
tile9: obstacle
tile10: obstacle
tile11: obstacle
tile12: obstacle
tile13: obstacle
tile14: obstacle
tile15: obstacle
tile16: obstacle
tile17: obstacle
tile18: obstacle
tile19: obstacle
tile20: obstacle
tile21: obstacle
tile22: obstacle
tile23: obstacle
tile24: obstacle
tile25: obstacle
tile26: obstacle
tile27: obstacle
tile28: obstacle
tile29: obstacle
tile30: obstacle
tile31: obstacle
tile32: obstacle
tile33: obstacle
tile34: obstacle
tile35: obstacle
tile36: obstacle
tile37: obstacle
tile38: obstacle
tile39: obstacle
tile40: obstacle
tile41: obstacle
tile42: obstacle
tile43: obstacle
tile44: obstacle
tile45: obstacle
tile46: obstacle
tile47: obstacle
tile48: obstacle
tile49: obstacle
tile50: obstacle
tile51: obstacle
tile52: obstacle
tile53: obstacle
tile54: obstacle
tile55: obstacle
tile56: obstacle
tile57: obstacle
tile58: obstacle
tile59: obstacle
tile60: obstacle
tile61: obstacle
tile62: obstacle
tile63: obstacle
tile64: obstacle
tile65: obstacle
tile66: obstacle
tile67: obstacle
tile68: obstacle
tile69: obstacle
tile70: obstacle
tile71: obstacle
tile72: obstacle
tile73: obstacle
tile74: obstacle
tile75: obstacle
tile76: obstacle
tile77: obstacle
tile78: obstacle
tile79: obstacle
tile80: obstacle
tile81: obstacle
tile82: obstacle
tile83: obstacle
tile84: obstacle
tile85: obstacle
tile86: obstacle
tile87: obstacle
tile88: obstacle
tile89: obstacle
tile90: obstacle
tile91: obstacle
tile92: obstacle
tile93: obstacle
tile94: obstacle
tile95: obstacle
tile96: obstacle
tile97: obstacle
tile98: obstacle
tile99: obstacle
tile100: obstacle
tile101: obstacle
tile102: obstacle
tile103: obstacle
tile104: obstacle
tile105: obstacle
tile106: obstacle
tile107: obstacle
tile108: obstacle
tile109: terrain
tile110: obstacle
tile111: obstacle
tile112: obstacle
tile113: obstacle
tile114: obstacle
tile115: obstacle
tile116: obstacle
tile117: obstacle
tile118: obstacle
tile119: obstacle
tile120: obstacle
tile121: obstacle
tile122: obstacle
tile123: obstacle
tile124: obstacle
tile125: obstacle
tile126: obstacle
tile127: obstacle
tile128: obstacle
tile129: obstacle
tile130: obstacle
tile131: obstacle
tile132: obstacle
tile133: obstacle
tile134: obstacle
tile135: obstacle
tile136: obstacle
tile137: obstacle
tile138: obstacle
tile139: obstacle
tile140: obstacle
tile141: obstacle
tile142: obstacle
tile143: obstacle
tile144: obstacle
tile145: obstacle
tile146: obstacle
tile147: obstacle
tile148: obstacle
tile149: obstacle
tile150: obstacle
tile151: obstacle
tile152: obstacle
tile153: obstacle
tile154: obstacle
tile155: obstacle
tile156: obstacle
tile157: obstacle
tile158: obstacle
tile159: obstacle
tile160: obstacle
tile161: obstacle
tile162: obstacle
tile163: obstacle
tile164: obstacle
tile165: obstacle
tile166: obstacle
tile167: obstacle
tile168: obstacle
tile169: obstacle
tile170: obstacle
tile171: obstacle
tile172: obstacle
tile173: obstacle
tile174: obstacle
tile175: obstacle
tile176: obstacle
tile177: obstacle
tile178: obstacle
tile179: obstacle
tile180: obstacle
tile181: obstacle
tile182: obstacle
tile183: obstacle
tile184: obstacle
tile185: obstacle
tile186: obstacle
tile187: obstacle
tile188: obstacle
tile189: obstacle
tile190: obstacle
tile191: obstacle
21 13
tabobjet.txt

